embryo,genotype,mean_speed,std_speed,p95_speed,mean_divergence,std_divergence,mean_vorticity,std_vorticity
WT_27deg_202201311900_PIVlab.mat,WT,7.139199521432724,4.654898449267441,15.840341098422753,-0.0013066239257856424,0.05665018000884326,-0.00023682554146469293,0.0587756241581551
even-skipped[r13]_202001151953_PIVlab.mat,Unknown,6.37913620173387,4.592572608324649,15.536473167020826,-0.0015065884156842423,0.0450138603827799,0.00017295468642777387,0.04678234983919056
even-skipped[r13]_202001171624_PIVlab.mat,Unknown,3.5411691769892775,2.669833476811883,8.964715964688308,-0.0003665950364717865,0.024665754767865495,4.0847881439582914e-05,0.027506680349787874
even-skipped[r13]_202001181115_PIVlab.mat,Unknown,6.5480621567235096,4.869021809749039,16.125170511140713,-0.0006922775193323798,0.04395538705407598,0.00021140140703715293,0.04823508504285628
halo_hetero_twist[ey53]_202007011145_PIVlab.mat,Unknown,5.1146793687423315,3.6709145097720977,12.433843516121554,0.00021904070541867586,0.03586725109923442,-0.00035065020332086897,0.04197206440507471
halo_hetero_twist[ey53]_202007081130_PIVlab.mat,Unknown,5.323484165439362,3.6129297864040537,12.361911891635557,0.0002625055026937127,0.03736122389893119,0.00012606564569212072,0.04216606304917722
halo_hetero_twist[ey53]_202007091200_PIVlab.mat,Unknown,5.0100383921356615,3.5957660974727066,11.935333682417701,-0.00044477071691407876,0.03626114762502167,-0.00018467281955470376,0.04137604776306228
halo_snail[IIG05]_202101201045_PIVlab.mat,Halo-Snail,3.7340580892049484,2.713838096605443,9.577398150084575,0.00021764761057123055,0.027989834439637647,-0.0003630446941263585,0.030977069100906723
halo_snail[IIG05]_202101221425_PIVlab.mat,Halo-Snail,5.378017362810819,4.033713634813777,13.672718918887261,0.0010993320390701824,0.03490229937468274,0.000580561106607377,0.041094318398699585
halo_snail[IIG05]_202101281300_PIVlab.mat,Halo-Snail,4.754253647073877,3.4869788867199714,11.757479844924829,0.0009682886533944035,0.03029833075428151,0.0003902290565978495,0.03832021898816439
halo_twist[ey53]_202007171100_PIVlab.mat,Halo-Twist,3.2078329408234474,2.679119071013502,8.855884575636185,0.0009376392890876004,0.023761864556957772,0.0002828121563473752,0.027531524156887976
halo_twist[ey53]_202007171400_PIVlab.mat,Halo-Twist,3.683935132937972,2.9826820249575774,9.933671031581559,0.0005858576534225431,0.02329498586997312,-0.00042300838638272974,0.028884710297252137
halo_twist[ey53]_202007301030_PIVlab.mat,Halo-Twist,3.8714432385411888,3.245678003137399,10.671710932245677,0.00203003960196005,0.02818610757278261,-0.0003226946044133948,0.0334258130280121
spaetzle[A]_201712191340_PIVlab.mat,Spaetzle,2.0851040444977347,1.4794179933752174,5.048224846241024,0.000200416302837018,0.03047287440752613,9.528521937214955e-05,0.027645919376754268
spaetzle[A]_201712201630_PIVlab.mat,Spaetzle,2.690867478056476,1.6522109497690673,5.871304462035707,0.0002107827814836482,0.03267033322575502,-0.00012389241051332663,0.03243708444179778
spaetzle[A]_201712201930_PIVlab.mat,Spaetzle,2.96909249617418,1.8186355515012735,6.467247551132383,7.6940187846746e-05,0.031871560926006105,-0.00018536272465643127,0.030237790730686505
toll[RM9]_202101111920_PIVlab.mat,Toll,2.6272676810268862,1.6079551598624628,5.743051259116776,0.0002469064940733229,0.03155405053398109,0.00016670654613483684,0.028717600269767725
toll[RM9]_202101121810_PIVlab.mat,Toll,1.2795965695515694,0.8568166527915928,2.9850992912327845,0.00032661819291709856,0.017411391184447213,-4.991154638037123e-05,0.01731388448765017
toll[RM9]_202101191940_PIVlab.mat,Toll,5.733038921168081,6.881929600086094,21.718010986921925,-0.0010837707416210315,0.06814724479582092,0.0018455486162138911,0.07835471273593961
